,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,ratings
Moonlight,1MfI0ct17ZfLGOCOHozqeP,0.00934,0.456,58703,0.812,0.462,5,0.104,-5.556,0,0.0407,155.934,0.678,7
credits song for my death,7kgvwGbyXl2xnv7LwyLNIX,0.806,0.249,171102,0.434,0.924,6,0.101,-18.336,0,0.0321,139.951,0.19,7
アウトサイダー,4cecxfR44krxQZ527CVGJ1,0.017,0.526,207647,0.885,0.0,6,0.146,-2.189,0,0.0654,171.927,0.848,9
KICK BACK,3khEEPRyBeOUabbmOPJzAG,0.00207,0.577,193495,0.941,3.36e-06,1,0.0891,-5.17,1,0.105,101.921,0.292,10
四季ノ唄,1iTvJFjCflwCz9RYJXzcsz,0.134,0.541,298000,0.611,0.0103,10,0.115,-8.747,0,0.042,92.481,0.682,10
Funk Soda,01krBM9VOLv2CSgo1wPSut,0.686,0.738,156062,0.879,0.0,1,0.381,-4.441,0,0.341,123.222,0.825,8
錠剤,04niDJQ3mzjkwzvid0Otoi,0.0215,0.578,204800,0.928,0.0,4,0.11,-3.226,0,0.0525,99.968,0.681,7
escalon,6QPfde4se5bL2IgCeKHTym,0.108,0.393,223947,0.803,0.625,7,0.104,-7.826,1,0.105,176.889,0.706,8
残機,1XeOqgzh2fZhmgxnmyiIJ8,0.403,0.667,230067,0.903,0.0,2,0.119,-2.965,1,0.0732,140.981,0.849,8
Computer Talk,3nBdKOCyGeggD4fyTRHGdb,0.502,0.694,133393,0.353,0.000885,11,0.0653,-11.218,0,0.154,102.984,0.819,6
Roar of the Jungle Dragon,6CXjEbFafOA0XHB2pM5APZ,0.000105,0.446,504297,0.898,3.16e-06,6,0.417,-5.044,1,0.0386,125.0,0.393,9
Fly-day Chinatown,73yXCwINoNqUBJRAgPJPsY,0.32,0.743,210240,0.812,8.13e-06,11,0.188,-4.715,0,0.0352,123.185,0.688,8
specialist,2ce0p5PuPXDxUhbhfjQqEL,0.0149,0.564,243747,0.973,0.923,8,0.327,-7.646,0,0.048,128.019,0.779,8
